word_count,sentence_count,avg_word_length,avg_sentence_length,type_token_ratio,bullet_count,numbered_list_count,question_count,exclamation_count,comma_rate,hedge_rate,filler_rate,empathy_rate,paragraph_count,has_bold,prompt_id,category,model_name
65,5,5.554,13.0,0.877,0,0,0,0,0.138,0.0,0.0,0.0,1,0,1,factual,claude
58,5,5.172,11.6,0.879,0,0,0,0,0.086,0.0,0.0,0.0,1,0,1,factual,gemini
33,3,5.03,11.0,0.939,0,0,0,0,0.182,0.0,0.0,0.0,1,0,1,factual,gpt4o
138,8,5.232,17.25,0.761,0,0,0,0,0.065,0.0,0.0,0.0,1,0,2,factual,claude
60,4,5.0,15.0,0.833,0,0,0,0,0.067,0.0,0.0,0.0,1,0,2,factual,gemini
35,3,5.057,11.667,0.886,0,0,0,0,0.086,0.0,0.0,0.0,1,0,2,factual,gpt4o
53,2,5.453,26.5,0.887,0,0,0,0,0.094,0.0,0.0,0.0,1,0,3,factual,claude
52,4,5.173,13.0,0.808,0,0,0,0,0.038,0.0,0.0,0.019,1,0,3,factual,gemini
29,2,5.966,14.5,0.897,0,0,0,0,0.069,0.0,0.0,0.0,1,0,3,factual,gpt4o
205,15,6.024,13.667,0.693,0,0,0,0,0.034,0.005,0.0,0.0,3,0,4,factual,claude
55,4,5.636,13.75,0.909,0,0,0,0,0.091,0.036,0.0,0.0,1,0,4,factual,gemini
29,2,6.138,14.5,0.897,0,0,0,0,0.069,0.0,0.0,0.0,1,0,4,factual,gpt4o
25,2,5.64,12.5,1.0,0,0,0,0,0.12,0.04,0.0,0.0,1,0,5,factual,claude
58,3,6.138,19.333,0.879,0,0,0,0,0.069,0.0,0.0,0.0,1,0,5,factual,gemini
47,3,6.532,15.667,0.915,0,0,0,0,0.064,0.0,0.0,0.0,1,0,5,factual,gpt4o
60,4,5.783,15.0,0.883,0,0,0,0,0.083,0.017,0.0,0.0,1,0,6,factual,claude
57,3,5.526,19.0,0.807,0,0,0,0,0.035,0.018,0.0,0.0,1,0,6,factual,gemini
50,3,5.56,16.667,0.84,0,0,0,0,0.04,0.02,0.0,0.0,1,0,6,factual,gpt4o
48,4,6.75,12.0,0.938,0,0,0,0,0.104,0.0,0.0,0.0,1,0,7,factual,claude
51,3,6.549,17.0,0.863,0,0,0,0,0.118,0.0,0.0,0.0,1,0,7,factual,gemini
47,3,6.532,15.667,0.872,0,0,0,0,0.085,0.0,0.0,0.0,1,0,7,factual,gpt4o
49,4,6.429,12.25,0.898,0,0,0,0,0.102,0.0,0.0,0.0,1,0,8,factual,claude
45,3,6.444,15.0,0.911,0,0,0,0,0.089,0.0,0.0,0.0,1,0,8,factual,gemini
43,3,6.86,14.333,0.86,0,0,0,0,0.047,0.0,0.0,0.0,1,0,8,factual,gpt4o
60,4,6.05,15.0,0.85,0,0,0,0,0.067,0.0,0.0,0.0,1,0,9,factual,claude
52,2,6.25,26.0,0.904,0,0,0,0,0.135,0.0,0.0,0.0,1,0,9,factual,gemini
46,3,6.0,15.333,0.913,0,0,0,0,0.109,0.0,0.0,0.0,1,0,9,factual,gpt4o
43,4,7.907,10.75,0.93,0,0,0,0,0.093,0.023,0.0,0.0,1,0,10,factual,claude
43,4,7.372,10.75,0.884,0,0,0,0,0.116,0.0,0.0,0.023,1,0,10,factual,gemini
36,3,8.028,12.0,0.889,0,0,0,0,0.139,0.0,0.0,0.0,1,0,10,factual,gpt4o
52,4,6.365,13.0,0.865,0,0,0,0,0.038,0.0,0.0,0.0,1,0,11,factual,claude
48,3,6.354,16.0,0.875,0,0,0,0,0.083,0.0,0.0,0.0,1,0,11,factual,gemini
42,3,6.31,14.0,0.881,0,0,0,0,0.119,0.0,0.0,0.024,1,0,11,factual,gpt4o
50,4,6.78,12.5,0.9,0,0,0,0,0.06,0.0,0.0,0.0,1,0,12,factual,claude
49,3,6.571,16.333,0.898,0,0,0,0,0.082,0.0,0.0,0.0,1,0,12,factual,gemini
43,3,6.721,14.333,0.93,0,0,0,0,0.07,0.0,0.0,0.0,1,0,12,factual,gpt4o
57,4,6.351,14.25,0.895,0,0,0,0,0.035,0.0,0.0,0.0,1,0,13,factual,claude
50,3,6.24,16.667,0.88,0,0,0,0,0.06,0.0,0.0,0.0,1,0,13,factual,gemini
44,3,6.636,14.667,0.886,0,0,0,0,0.0,0.0,0.0,0.0,1,0,13,factual,gpt4o
53,4,6.811,13.25,0.962,0,0,0,0,0.057,0.0,0.0,0.019,1,0,14,factual,claude
44,3,7.182,14.667,0.886,0,0,0,0,0.114,0.0,0.0,0.0,1,0,14,factual,gemini
45,3,6.333,15.0,0.867,0,0,0,0,0.067,0.0,0.0,0.0,1,0,14,factual,gpt4o
50,4,6.98,12.5,0.92,0,0,0,0,0.08,0.0,0.0,0.0,1,0,15,factual,claude
47,2,7.404,23.5,0.894,0,0,0,0,0.149,0.0,0.0,0.0,1,0,15,factual,gemini
44,3,6.75,14.667,0.886,0,0,0,0,0.182,0.0,0.0,0.0,1,0,15,factual,gpt4o
48,4,6.917,12.0,0.875,0,0,0,0,0.042,0.0,0.021,0.021,1,0,16,factual,claude
53,3,6.0,17.667,0.83,0,0,0,0,0.057,0.0,0.0,0.019,1,0,16,factual,gemini
48,3,6.021,16.0,0.833,0,0,0,0,0.042,0.0,0.0,0.0,1,0,16,factual,gpt4o
51,4,7.431,12.75,0.98,0,0,0,0,0.059,0.0,0.0,0.039,1,0,17,factual,claude
51,3,6.098,17.0,0.843,0,0,0,0,0.039,0.0,0.0,0.039,1,0,17,factual,gemini
43,3,6.791,14.333,0.953,0,0,0,0,0.093,0.047,0.0,0.023,1,0,17,factual,gpt4o
52,4,7.038,13.0,0.885,0,0,0,0,0.058,0.0,0.0,0.0,1,0,18,factual,claude
48,3,6.812,16.0,0.854,0,0,0,0,0.125,0.021,0.0,0.0,1,0,18,factual,gemini
44,3,6.591,14.667,0.841,0,0,0,0,0.068,0.0,0.0,0.0,1,0,18,factual,gpt4o
53,4,6.396,13.25,0.849,0,0,0,0,0.057,0.0,0.0,0.0,1,0,19,factual,claude
48,3,6.625,16.0,0.875,0,0,0,0,0.125,0.0,0.0,0.0,1,0,19,factual,gemini
44,3,6.818,14.667,0.909,0,0,0,0,0.182,0.0,0.0,0.0,1,0,19,factual,gpt4o
51,4,7.294,12.75,0.882,0,0,0,0,0.059,0.0,0.0,0.0,1,0,20,factual,claude
49,3,6.735,16.333,0.857,0,0,0,0,0.163,0.0,0.0,0.0,1,0,20,factual,gemini
41,3,7.634,13.667,0.878,0,0,0,0,0.122,0.0,0.0,0.0,1,0,20,factual,gpt4o
56,4,6.464,14.0,0.839,0,0,0,0,0.036,0.0,0.0,0.0,1,0,21,factual,claude
51,2,6.098,25.5,0.804,0,0,0,0,0.098,0.0,0.0,0.0,1,0,21,factual,gemini
52,2,5.154,26.0,0.75,0,0,0,0,0.096,0.0,0.0,0.0,1,0,21,factual,gpt4o
49,4,7.551,12.25,0.918,0,0,0,0,0.184,0.0,0.0,0.02,1,0,22,factual,claude
47,3,7.426,15.667,0.915,0,0,0,0,0.149,0.0,0.0,0.0,1,0,22,factual,gemini
43,3,7.581,14.333,0.93,0,0,0,0,0.116,0.0,0.0,0.047,1,0,22,factual,gpt4o
53,4,7.491,13.25,0.887,0,0,0,0,0.113,0.0,0.0,0.019,1,0,23,factual,claude
46,3,7.109,15.333,0.891,0,0,0,0,0.087,0.0,0.0,0.022,1,0,23,factual,gemini
45,3,6.867,15.0,0.933,0,0,0,0,0.178,0.0,0.0,0.022,1,0,23,factual,gpt4o
54,4,6.759,13.5,0.907,0,0,0,0,0.037,0.0,0.0,0.0,1,0,24,factual,claude
47,4,6.83,11.75,0.872,0,0,0,0,0.064,0.0,0.0,0.0,1,0,24,factual,gemini
45,3,6.867,15.0,0.867,0,0,0,0,0.089,0.0,0.0,0.0,1,0,24,factual,gpt4o
58,4,5.724,14.5,0.862,0,0,0,0,0.0,0.0,0.0,0.0,1,0,25,factual,claude
50,5,5.68,10.0,0.96,0,0,0,0,0.08,0.02,0.0,0.0,1,0,25,factual,gemini
48,3,6.104,16.0,0.875,0,0,0,0,0.042,0.0,0.0,0.0,1,0,25,factual,gpt4o
56,4,6.554,14.0,0.946,0,0,0,0,0.036,0.0,0.0,0.0,1,0,26,factual,claude
49,3,6.449,16.333,0.796,0,0,0,0,0.02,0.0,0.0,0.02,1,0,26,factual,gemini
46,3,6.348,15.333,0.848,0,0,0,0,0.109,0.0,0.0,0.0,1,0,26,factual,gpt4o
54,4,6.907,13.5,0.889,0,0,0,0,0.037,0.0,0.0,0.0,1,0,27,factual,claude
47,3,6.851,15.667,0.894,0,0,0,0,0.106,0.021,0.0,0.0,1,0,27,factual,gemini
43,3,7.302,14.333,0.884,0,0,0,0,0.14,0.023,0.0,0.0,1,0,27,factual,gpt4o
48,4,7.271,12.0,0.875,0,0,0,0,0.0,0.0,0.0,0.0,1,0,28,factual,claude
49,3,6.959,16.333,0.857,0,0,0,0,0.122,0.02,0.0,0.0,1,0,28,factual,gemini
45,3,7.333,15.0,0.889,0,0,0,0,0.111,0.022,0.0,0.0,1,0,28,factual,gpt4o
53,4,7.302,13.25,0.887,0,0,0,0,0.057,0.0,0.0,0.0,1,0,29,factual,claude
47,3,7.66,15.667,0.915,0,0,0,0,0.128,0.0,0.0,0.0,1,0,29,factual,gemini
44,3,7.523,14.667,0.909,0,0,0,0,0.091,0.0,0.0,0.0,1,0,29,factual,gpt4o
50,4,7.04,12.5,0.88,0,0,0,0,0.06,0.0,0.0,0.0,1,0,30,factual,claude
49,4,6.898,12.25,0.878,0,0,0,0,0.163,0.0,0.0,0.0,1,0,30,factual,gemini
46,3,6.13,15.333,0.87,0,0,0,0,0.174,0.0,0.0,0.0,1,0,30,factual,gpt4o
61,4,6.197,15.25,0.902,0,0,0,0,0.098,0.0,0.0,0.0,1,0,31,factual,claude
48,3,6.625,16.0,0.812,0,0,0,0,0.125,0.021,0.0,0.0,1,0,31,factual,gemini
45,3,6.467,15.0,0.867,0,0,0,0,0.111,0.0,0.0,0.0,1,0,31,factual,gpt4o
53,4,6.321,13.25,0.906,0,0,0,0,0.0,0.0,0.0,0.0,1,0,32,factual,claude
49,4,6.49,12.25,0.939,0,0,0,0,0.122,0.0,0.0,0.0,1,0,32,factual,gemini
47,3,6.426,15.667,0.957,0,0,0,0,0.085,0.021,0.0,0.0,1,0,32,factual,gpt4o
56,4,6.446,14.0,0.893,0,0,0,0,0.125,0.0,0.0,0.018,1,0,33,factual,claude
49,3,6.837,16.333,0.898,0,0,0,0,0.184,0.0,0.0,0.02,1,0,33,factual,gemini
45,3,6.867,15.0,0.911,0,0,0,0,0.156,0.022,0.0,0.022,1,0,33,factual,gpt4o
52,4,7.25,13.0,0.885,0,0,0,0,0.115,0.0,0.0,0.0,1,0,34,factual,claude
48,3,6.458,16.0,0.875,0,0,0,0,0.125,0.0,0.0,0.021,1,0,34,factual,gemini
46,3,6.283,15.333,0.848,0,0,0,0,0.13,0.0,0.0,0.022,1,0,34,factual,gpt4o
53,4,6.774,13.25,0.868,0,0,0,0,0.075,0.019,0.0,0.019,1,0,35,factual,claude
50,3,6.16,16.667,0.88,0,0,0,0,0.16,0.02,0.0,0.02,1,0,35,factual,gemini
45,3,6.444,15.0,0.911,0,0,0,0,0.133,0.022,0.0,0.022,1,0,35,factual,gpt4o
54,4,6.463,13.5,0.889,0,0,0,0,0.019,0.019,0.0,0.0,1,0,36,factual,claude
54,3,5.944,18.0,0.889,0,0,0,0,0.056,0.0,0.0,0.0,1,0,36,factual,gemini
47,4,6.447,11.75,0.894,0,0,0,0,0.043,0.0,0.0,0.0,1,0,36,factual,gpt4o
53,4,6.792,13.25,0.868,0,0,0,0,0.094,0.0,0.0,0.019,1,0,37,factual,claude
51,3,6.627,17.0,0.824,0,0,0,0,0.078,0.0,0.0,0.02,1,0,37,factual,gemini
48,3,6.562,16.0,0.875,0,0,0,0,0.125,0.0,0.0,0.0,1,0,37,factual,gpt4o
52,4,7.288,13.0,0.846,0,0,0,0,0.096,0.0,0.0,0.0,1,0,38,factual,claude
49,3,7.408,16.333,0.878,0,0,0,0,0.102,0.0,0.0,0.0,1,0,38,factual,gemini
42,3,7.81,14.0,0.905,0,0,0,0,0.143,0.0,0.0,0.0,1,0,38,factual,gpt4o
57,4,7.0,14.25,0.93,0,0,0,0,0.053,0.0,0.0,0.0,1,0,39,factual,claude
47,3,7.723,15.667,0.936,0,0,0,0,0.17,0.0,0.0,0.021,1,0,39,factual,gemini
45,3,7.244,15.0,0.933,0,0,0,0,0.156,0.0,0.0,0.0,1,0,39,factual,gpt4o
53,4,6.83,13.25,0.925,0,0,0,0,0.038,0.0,0.0,0.019,1,0,40,factual,claude
50,3,6.94,16.667,0.84,0,0,0,0,0.08,0.0,0.0,0.0,1,0,40,factual,gemini
45,4,7.489,11.25,0.889,0,0,0,0,0.111,0.0,0.0,0.022,1,0,40,factual,gpt4o
55,4,6.345,13.75,0.927,0,0,0,0,0.073,0.018,0.0,0.018,1,0,41,opinion,claude
42,3,6.762,14.0,0.905,0,0,0,0,0.095,0.024,0.0,0.0,1,0,41,opinion,gemini
45,2,6.289,22.5,0.867,0,0,0,0,0.111,0.022,0.0,0.0,1,0,41,opinion,gpt4o
56,4,6.179,14.0,0.929,0,0,0,0,0.054,0.018,0.0,0.0,1,0,42,opinion,claude
48,3,5.875,16.0,0.938,0,0,0,0,0.021,0.021,0.0,0.0,1,0,42,opinion,gemini
37,2,6.973,18.5,0.919,0,0,0,0,0.108,0.027,0.0,0.027,1,0,42,opinion,gpt4o
56,4,5.946,14.0,0.875,0,0,0,0,0.036,0.018,0.0,0.0,1,0,43,opinion,claude
40,2,6.025,20.0,0.9,0,0,0,0,0.125,0.0,0.0,0.0,1,0,43,opinion,gemini
40,2,6.125,20.0,0.95,0,0,0,0,0.1,0.0,0.0,0.025,1,0,43,opinion,gpt4o
55,5,6.109,11.0,0.891,0,0,0,0,0.109,0.0,0.0,0.0,1,0,44,opinion,claude
44,3,6.25,14.667,0.886,0,0,0,0,0.023,0.0,0.0,0.0,1,0,44,opinion,gemini
39,2,6.103,19.5,0.923,0,0,0,0,0.077,0.0,0.0,0.0,1,0,44,opinion,gpt4o
55,4,6.436,13.75,0.836,0,0,0,0,0.055,0.018,0.0,0.0,1,0,45,opinion,claude
39,3,6.487,13.0,0.897,0,0,0,0,0.077,0.026,0.0,0.0,1,0,45,opinion,gemini
40,3,6.875,13.333,0.875,0,0,0,0,0.125,0.025,0.0,0.0,1,0,45,opinion,gpt4o
53,4,6.736,13.25,0.849,0,0,0,0,0.075,0.019,0.0,0.0,1,0,46,opinion,claude
41,3,6.707,13.667,0.927,0,0,0,0,0.073,0.0,0.0,0.0,1,0,46,opinion,gemini
37,2,6.514,18.5,0.811,0,0,0,0,0.108,0.0,0.0,0.027,1,0,46,opinion,gpt4o
52,4,6.827,13.0,0.942,0,0,0,0,0.096,0.0,0.0,0.0,1,0,47,opinion,claude
46,3,6.565,15.333,0.891,0,0,0,0,0.065,0.0,0.0,0.0,1,0,47,opinion,gemini
38,3,7.105,12.667,0.921,0,0,0,0,0.053,0.0,0.0,0.0,1,0,47,opinion,gpt4o
54,4,6.759,13.5,0.852,0,0,0,0,0.093,0.037,0.0,0.0,1,0,48,opinion,claude
47,3,6.511,15.667,0.809,0,0,0,0,0.085,0.0,0.0,0.0,1,0,48,opinion,gemini
35,2,6.857,17.5,0.857,0,0,0,0,0.029,0.029,0.0,0.0,1,0,48,opinion,gpt4o
56,5,7.071,11.2,0.911,0,0,0,0,0.036,0.018,0.0,0.0,1,0,49,opinion,claude
39,3,7.051,13.0,0.974,0,0,0,0,0.077,0.0,0.0,0.026,1,0,49,opinion,gemini
36,2,7.222,18.0,0.972,0,0,0,0,0.139,0.028,0.0,0.0,1,0,49,opinion,gpt4o
55,4,6.855,13.75,0.891,0,0,0,0,0.036,0.036,0.0,0.0,1,0,50,opinion,claude
40,3,6.975,13.333,0.85,0,0,0,0,0.0,0.0,0.0,0.0,1,0,50,opinion,gemini
34,2,5.853,17.0,0.912,0,0,0,0,0.059,0.0,0.0,0.0,1,0,50,opinion,gpt4o
59,4,5.797,14.75,0.797,0,0,0,0,0.034,0.017,0.0,0.0,1,0,51,opinion,claude
43,3,6.395,14.333,0.93,0,0,0,0,0.047,0.0,0.0,0.0,1,0,51,opinion,gemini
36,2,6.806,18.0,0.889,0,0,0,0,0.056,0.0,0.0,0.0,1,0,51,opinion,gpt4o
52,4,6.25,13.0,0.865,0,0,0,0,0.077,0.0,0.0,0.0,1,0,52,opinion,claude
38,3,6.474,12.667,0.947,0,0,0,0,0.105,0.0,0.0,0.026,1,0,52,opinion,gemini
43,2,6.116,21.5,0.86,0,0,0,0,0.047,0.0,0.0,0.0,1,0,52,opinion,gpt4o
56,4,6.071,14.0,0.821,0,0,0,0,0.107,0.0,0.0,0.018,1,0,53,opinion,claude
42,3,5.905,14.0,0.833,0,0,0,0,0.048,0.0,0.0,0.0,1,0,53,opinion,gemini
42,2,5.69,21.0,0.786,0,0,0,0,0.095,0.0,0.0,0.0,1,0,53,opinion,gpt4o
53,4,6.981,13.25,0.906,0,0,0,0,0.151,0.019,0.0,0.0,1,0,54,opinion,claude
44,3,6.727,14.667,0.886,0,0,0,0,0.091,0.0,0.0,0.0,1,0,54,opinion,gemini
37,2,6.351,18.5,0.892,0,0,0,0,0.162,0.0,0.0,0.0,1,0,54,opinion,gpt4o
53,4,6.755,13.25,0.868,0,0,0,0,0.057,0.0,0.0,0.0,1,0,55,opinion,claude
40,3,6.8,13.333,0.925,0,0,0,0,0.1,0.0,0.0,0.0,1,0,55,opinion,gemini
37,3,6.622,12.333,0.946,0,0,0,0,0.108,0.0,0.0,0.0,1,0,55,opinion,gpt4o
57,4,6.368,14.25,0.912,0,0,0,0,0.035,0.018,0.0,0.0,1,0,56,opinion,claude
42,3,6.333,14.0,0.833,0,0,0,0,0.071,0.0,0.0,0.0,1,0,56,opinion,gemini
36,2,6.694,18.0,0.889,0,0,0,0,0.028,0.0,0.0,0.028,1,0,56,opinion,gpt4o
57,4,6.123,14.25,0.807,0,0,0,0,0.105,0.0,0.018,0.0,1,0,57,opinion,claude
42,3,5.786,14.0,0.786,0,0,0,0,0.024,0.0,0.0,0.0,1,0,57,opinion,gemini
33,2,6.424,16.5,1.0,0,0,0,0,0.121,0.0,0.0,0.0,1,0,57,opinion,gpt4o
53,4,6.906,13.25,0.887,0,0,0,0,0.075,0.0,0.019,0.0,1,0,58,opinion,claude
38,3,6.737,12.667,0.895,0,0,0,0,0.079,0.026,0.0,0.0,1,0,58,opinion,gemini
35,2,6.829,17.5,0.971,0,0,0,0,0.086,0.029,0.0,0.0,1,0,58,opinion,gpt4o
54,4,6.722,13.5,0.889,0,0,0,0,0.111,0.037,0.0,0.0,1,0,59,opinion,claude
39,3,6.128,13.0,0.897,0,0,0,0,0.051,0.0,0.0,0.0,1,0,59,opinion,gemini
38,3,6.184,12.667,0.895,0,0,0,0,0.079,0.0,0.0,0.0,1,0,59,opinion,gpt4o
56,4,5.839,14.0,0.875,0,0,0,0,0.036,0.0,0.0,0.0,1,0,60,opinion,claude
38,3,7.237,12.667,0.868,0,0,0,0,0.026,0.026,0.0,0.026,1,0,60,opinion,gemini
35,3,6.743,11.667,0.914,0,0,0,0,0.029,0.0,0.0,0.0,1,0,60,opinion,gpt4o
53,4,6.547,13.25,0.811,0,0,0,0,0.0,0.038,0.0,0.0,1,0,61,opinion,claude
42,3,6.238,14.0,0.905,0,0,0,0,0.071,0.024,0.0,0.0,1,0,61,opinion,gemini
43,3,6.047,14.333,0.93,0,0,0,0,0.07,0.023,0.0,0.0,1,0,61,opinion,gpt4o
52,3,6.942,17.333,0.923,0,0,0,0,0.077,0.038,0.0,0.0,1,0,62,opinion,claude
42,3,6.976,14.0,0.905,0,0,0,0,0.024,0.024,0.0,0.0,1,0,62,opinion,gemini
34,2,6.265,17.0,0.912,0,0,0,0,0.088,0.029,0.0,0.0,1,0,62,opinion,gpt4o
53,4,7.0,13.25,0.925,0,0,0,0,0.075,0.038,0.0,0.019,1,0,63,opinion,claude
36,3,7.111,12.0,0.917,0,0,0,0,0.139,0.0,0.0,0.0,1,0,63,opinion,gemini
36,2,6.361,18.0,0.944,0,0,0,0,0.167,0.0,0.0,0.0,1,0,63,opinion,gpt4o
52,4,6.827,13.0,0.904,0,0,0,0,0.077,0.019,0.0,0.0,1,0,64,opinion,claude
38,3,6.658,12.667,0.921,0,0,0,0,0.026,0.026,0.0,0.0,1,0,64,opinion,gemini
37,2,6.378,18.5,0.892,0,0,0,0,0.027,0.0,0.0,0.0,1,0,64,opinion,gpt4o
56,3,6.143,18.667,0.857,0,0,0,0,0.071,0.054,0.0,0.0,1,0,65,opinion,claude
36,3,6.972,12.0,0.917,0,0,0,0,0.056,0.028,0.0,0.0,1,0,65,opinion,gemini
35,2,6.286,17.5,0.914,0,0,0,0,0.086,0.0,0.0,0.0,1,0,65,opinion,gpt4o
54,4,6.37,13.5,0.926,0,0,0,0,0.111,0.0,0.0,0.0,1,0,66,opinion,claude
43,3,6.093,14.333,0.953,0,0,0,0,0.07,0.023,0.0,0.023,1,0,66,opinion,gemini
37,2,6.189,18.5,0.892,0,0,0,0,0.081,0.027,0.0,0.0,1,0,66,opinion,gpt4o
50,4,7.66,12.5,0.9,0,0,0,0,0.06,0.02,0.0,0.0,1,0,67,opinion,claude
42,3,6.31,14.0,0.952,0,0,0,0,0.048,0.048,0.0,0.0,1,0,67,opinion,gemini
34,2,6.5,17.0,0.971,0,0,0,0,0.088,0.029,0.0,0.0,1,0,67,opinion,gpt4o
51,3,6.647,17.0,0.882,0,0,0,0,0.137,0.0,0.0,0.0,1,0,68,opinion,claude
43,3,6.512,14.333,0.884,0,0,0,0,0.047,0.0,0.0,0.0,1,0,68,opinion,gemini
33,2,7.242,16.5,0.939,0,0,0,0,0.091,0.0,0.0,0.0,1,0,68,opinion,gpt4o
60,4,6.65,15.0,0.9,0,0,0,0,0.083,0.0,0.0,0.0,1,0,69,opinion,claude
45,3,6.022,15.0,0.889,0,0,0,0,0.067,0.0,0.0,0.0,1,0,69,opinion,gemini
36,2,6.528,18.0,0.917,0,0,0,0,0.0,0.0,0.0,0.0,1,0,69,opinion,gpt4o
53,4,7.434,13.25,0.887,0,0,0,0,0.038,0.0,0.0,0.0,1,0,70,opinion,claude
31,3,7.581,10.333,0.935,0,0,0,0,0.097,0.0,0.0,0.032,1,0,70,opinion,gemini
34,2,6.5,17.0,0.912,0,0,0,0,0.088,0.0,0.0,0.029,1,0,70,opinion,gpt4o
56,4,6.339,14.0,0.857,0,0,0,0,0.107,0.0,0.018,0.0,1,0,71,opinion,claude
35,4,6.486,8.75,0.886,0,0,0,0,0.114,0.0,0.0,0.0,1,0,71,opinion,gemini
33,3,6.667,11.0,0.939,0,0,0,0,0.182,0.0,0.0,0.0,1,0,71,opinion,gpt4o
54,3,6.222,18.0,0.852,0,0,0,0,0.037,0.0,0.0,0.0,1,0,72,opinion,claude
46,3,6.0,15.333,0.891,0,0,0,0,0.065,0.022,0.0,0.0,1,0,72,opinion,gemini
38,2,6.263,19.0,0.895,0,0,0,0,0.053,0.026,0.0,0.0,1,0,72,opinion,gpt4o
57,5,6.772,11.4,0.982,0,0,0,0,0.07,0.035,0.0,0.0,1,0,73,opinion,claude
36,3,7.361,12.0,0.917,0,0,0,0,0.028,0.0,0.0,0.028,1,0,73,opinion,gemini
31,2,7.129,15.5,0.935,0,0,0,0,0.032,0.032,0.0,0.0,1,0,73,opinion,gpt4o
60,4,6.183,15.0,0.833,0,0,0,0,0.05,0.017,0.017,0.0,1,0,74,opinion,claude
39,3,5.744,13.0,0.821,0,0,0,0,0.026,0.0,0.0,0.051,1,0,74,opinion,gemini
42,2,5.119,21.0,0.714,0,0,0,0,0.048,0.0,0.0,0.0,1,0,74,opinion,gpt4o
59,4,6.339,14.75,0.847,0,0,0,0,0.034,0.017,0.0,0.0,1,0,75,opinion,claude
37,3,6.514,12.333,0.919,0,0,0,0,0.027,0.0,0.0,0.027,1,0,75,opinion,gemini
37,2,6.622,18.5,0.946,0,0,0,0,0.054,0.027,0.0,0.027,1,0,75,opinion,gpt4o
57,4,7.351,14.25,0.895,0,0,0,0,0.088,0.018,0.0,0.0,1,0,76,opinion,claude
40,3,6.8,13.333,0.875,0,0,0,0,0.025,0.0,0.0,0.0,1,0,76,opinion,gemini
34,2,6.941,17.0,0.941,0,0,0,0,0.029,0.0,0.0,0.029,1,0,76,opinion,gpt4o
59,4,6.407,14.75,0.915,0,0,0,0,0.068,0.017,0.0,0.0,1,0,77,opinion,claude
39,3,6.718,13.0,0.897,0,0,0,0,0.026,0.0,0.0,0.026,1,0,77,opinion,gemini
38,2,6.026,19.0,0.974,0,0,0,0,0.026,0.0,0.0,0.0,1,0,77,opinion,gpt4o
57,4,6.491,14.25,0.877,0,0,0,0,0.053,0.018,0.0,0.0,1,0,78,opinion,claude
37,3,6.919,12.333,0.946,0,0,0,0,0.027,0.027,0.0,0.0,1,0,78,opinion,gemini
30,2,7.033,15.0,0.933,0,0,0,0,0.033,0.0,0.0,0.0,1,0,78,opinion,gpt4o
56,4,6.446,14.0,0.857,0,0,0,0,0.054,0.0,0.0,0.0,1,0,79,opinion,claude
41,3,6.854,13.667,0.854,0,0,0,0,0.024,0.0,0.0,0.049,1,0,79,opinion,gemini
30,2,7.033,15.0,0.967,0,0,0,0,0.067,0.0,0.0,0.0,1,0,79,opinion,gpt4o
59,3,6.22,19.667,0.797,0,0,0,0,0.085,0.017,0.0,0.0,1,0,80,opinion,claude
44,3,6.045,14.667,0.909,0,0,0,0,0.068,0.068,0.0,0.0,1,0,80,opinion,gemini
39,2,6.538,19.5,0.897,0,0,0,0,0.154,0.026,0.0,0.0,1,0,80,opinion,gpt4o
142,8,5.62,17.75,0.782,0,0,0,0,0.049,0.0,0.0,0.0,1,0,81,creative,claude
102,5,6.088,20.4,0.804,0,0,0,0,0.127,0.0,0.0,0.0,1,0,81,creative,gemini
105,5,5.676,21.0,0.79,0,0,0,0,0.095,0.0,0.0,0.0,1,0,81,creative,gpt4o
143,11,5.098,13.0,0.769,0,0,2,0,0.063,0.014,0.0,0.007,1,0,82,creative,claude
103,9,4.66,11.444,0.806,0,0,0,2,0.058,0.01,0.0,0.0,1,0,82,creative,gemini
100,7,4.88,14.286,0.8,0,0,0,2,0.08,0.02,0.0,0.0,1,0,82,creative,gpt4o
152,7,5.836,21.714,0.75,0,0,0,0,0.072,0.0,0.007,0.007,1,0,83,creative,claude
97,7,5.814,13.857,0.845,0,0,0,0,0.093,0.0,0.0,0.031,1,0,83,creative,gemini
104,6,5.971,17.333,0.808,0,0,0,0,0.077,0.0,0.0,0.019,1,0,83,creative,gpt4o
159,9,5.365,17.667,0.73,0,0,0,0,0.075,0.0,0.0,0.006,1,0,84,creative,claude
96,6,5.49,16.0,0.771,0,0,0,0,0.125,0.0,0.0,0.01,1,0,84,creative,gemini
111,6,4.766,18.5,0.739,0,0,0,0,0.126,0.0,0.0,0.0,1,0,84,creative,gpt4o
152,21,5.191,7.238,0.829,0,0,3,1,0.059,0.0,0.007,0.0,1,0,85,creative,claude
104,19,4.894,5.474,0.788,0,0,4,0,0.038,0.0,0.0,0.01,1,0,85,creative,gemini
103,18,5.359,5.722,0.806,0,0,6,3,0.019,0.0,0.0,0.01,1,0,85,creative,gpt4o
159,7,6.063,22.714,0.786,0,0,0,0,0.05,0.0,0.0,0.006,1,0,86,creative,claude
99,8,5.727,12.375,0.828,0,0,0,0,0.071,0.0,0.0,0.0,1,0,86,creative,gemini
